3.000000000000000000e+00 1.723238706511375185e+01
3.000000000000000000e+00 9.720751720930193684e+00
3.000000000000000000e+00 4.271971832659436252e+00
3.000000000000000000e+00 2.429141350649962394e+00
3.000000000000000000e+00 1.980398979361184919e+00
3.000000000000000000e+00 1.946017658084279400e+00
3.000000000000000000e+00 1.773101417414872705e+00
3.000000000000000000e+00 1.663861677028269037e+00
3.000000000000000000e+00 1.590411961565549204e+00
3.000000000000000000e+00 1.567493372648461003e+00
4.000000000000000000e+00 1.739125615462276642e+01
4.000000000000000000e+00 9.815010343076306043e+00
4.000000000000000000e+00 4.047532073603814951e+00
4.000000000000000000e+00 2.658460599870953622e+00
4.000000000000000000e+00 2.154176893714746743e+00
4.000000000000000000e+00 2.115886530364571083e+00
4.000000000000000000e+00 1.973580817516964014e+00
4.000000000000000000e+00 1.865192002051446973e+00
4.000000000000000000e+00 1.748924102001460312e+00
4.000000000000000000e+00 1.633570750329572441e+00
5.000000000000000000e+00 1.762273804011134004e+01
5.000000000000000000e+00 9.938779517557124521e+00
5.000000000000000000e+00 4.161218401377718479e+00
5.000000000000000000e+00 3.530169576687509192e+00
5.000000000000000000e+00 3.327695783444074795e+00
5.000000000000000000e+00 2.953805896141556087e+00
5.000000000000000000e+00 2.477880300025376403e+00
5.000000000000000000e+00 2.223946999368560107e+00
5.000000000000000000e+00 2.065542740382719344e+00
5.000000000000000000e+00 1.883871858481344530e+00
