0 1 2 0.17688555988482
0 1 3 0.175026050227199
0 1 4 0.103026214904448
0 1 5 0.107894059628
0 1 6 0.0869933784146871
0 1 7 0.20143200007046
0 1 8 0.127957409171904
0 1 9 0.102860526244937
0 1 10 0.106400939911827
0 2 1 0.166728628061974
0 2 3 0.121108345475593
0 2 4 0.0757812589448342
0 2 5 0.165028117123867
0 2 6 0.117618727535261
0 2 7 0.254107200690173
0 2 8 0.153361819564569
0 2 9 0.100696739650035
0 2 10 0.15825867314751
0 3 1 0.165566221583426
0 3 2 0.121868307630545
0 3 4 0.0763540954490924
0 3 5 0.160018779808994
0 3 6 0.0933997479643875
0 3 7 0.253420796941178
0 3 8 0.157116859772802
0 3 9 0.128563900357007
0 3 10 0.154157580068491
0 4 1 0.110051389541576
0 4 2 0.094198939248786
0 4 3 0.0939793826846393
0 4 5 0.0930402096802766
0 4 6 0.0773049057425156
0 4 7 0.157621533622214
0 4 8 0.0916881371680697
0 4 9 0.0833716387914884
0 4 10 0.094204733889798
0 5 1 0.108577224883943
0 5 2 0.175839012374958
0 5 3 0.170179722455259
0 5 4 0.0865800661597552
0 5 6 0.0900954421197755
0 5 7 0.199314656049574
0 5 8 0.107338643918777
0 5 9 0.120978690196703
0 5 10 0.124180128059071
0 6 1 0.0934111678949088
0 6 2 0.134504059842956
0 6 3 0.109979236208532
0 6 4 0.0765583059975678
0 6 5 0.0957986510618205
0 6 7 0.175262224306738
0 6 8 0.113434215646968
0 6 9 0.0910489816589408
0 6 10 0.097807800874923
0 7 1 0.175733828576573
0 7 2 0.239487402191105
0 7 3 0.238138746908417
0 7 4 0.123650057890169
0 7 5 0.172915382443336
0 7 6 0.142694916309212
0 7 8 0.084079458759359
0 7 9 0.158872189458226
0 7 10 0.0838043179854657
0 8 1 0.127211735431136
0 8 2 0.162968168204164
0 8 3 0.165960625736769
0 8 4 0.0837352966144916
0 8 5 0.105891339920233
0 8 6 0.106395764784994
0 8 7 0.111878344876777
0 8 9 0.101567500360045
0 8 10 0.0920651763388573
0 9 1 0.105969261484605
0 9 2 0.114737728476048
0 9 3 0.141430260529779
0 9 4 0.0793366803562327
0 9 5 0.123353431710619
0 9 6 0.0877868310206028
0 9 7 0.187919471973107
0 9 8 0.105446155511266
0 9 10 0.119930661458945
0 10 1 0.106044258973394
0 10 2 0.168188879784522
0 10 3 0.163415831220458
0 10 4 0.0866909701333095
0 10 5 0.123160187159557
0 10 6 0.0910588981749156
0 10 7 0.112012292575048
0 10 8 0.0924786271926782
0 10 9 0.116519911212134
1 0 2 0.467760862803113
1 0 3 0.467314480431004
1 0 4 0.335918281820228
1 0 5 0.442495769991102
1 0 6 0.354696206233222
1 0 7 0.516365013218283
1 0 8 0.393678222663996
1 0 9 0.391291235673431
1 0 10 0.395748090972132
1 2 0 0.485564033631372
1 2 3 0.235322076521299
1 2 4 0.168513815012163
1 2 5 0.402557178400456
1 2 6 0.263218713944294
1 2 7 0.505086435492975
1 2 8 0.352301699837184
1 2 9 0.205186763393277
1 2 10 0.380708834794894
1 3 0 0.484017603534222
1 3 2 0.235561083656953
1 3 4 0.17175937559587
1 3 5 0.388498284042761
1 3 6 0.183210176567013
1 3 7 0.504961973711716
1 3 8 0.364241911271488
1 3 9 0.294561536289208
1 3 10 0.369840512354849
1 4 0 0.319652307118692
1 4 2 0.171517944627649
1 4 3 0.174551695983651
1 4 5 0.276543042806683
1 4 6 0.214479779931048
1 4 7 0.315850188148351
1 4 8 0.221238017443941
1 4 9 0.231200350728495
1 4 10 0.260386623324172
1 5 0 0.440745040244925
1 5 2 0.402412253762079
1 5 3 0.388563877835662
1 5 4 0.275872598836144
1 5 6 0.301318018067273
1 5 7 0.419694817874832
1 5 8 0.289207250898931
1 5 9 0.388381461530282
1 5 10 0.390786113489868
1 6 0 0.33699596318848
1 6 2 0.26333087860023
1 6 3 0.185156663731781
1 6 4 0.213488655512053
1 6 5 0.301228533079062
1 6 7 0.354570736288932
1 6 8 0.295727800471188
